"act","time_range","stage","day","start_time","end_time","date","act_name_short","act_order","index","time_position","datetime"
"BRASS AGAINST","13:00 - 14:00","WEST HOLTS STAGE","SATURDAY","13:00","14:00",2022-07-02,"BRASS AGAINST",2,55,"start_datetime",2022-07-02 13:00:00
"BRASS AGAINST","13:00 - 14:00","WEST HOLTS STAGE","SATURDAY","13:00","14:00",2022-07-02,"BRASS AGAINST",2,55,"end_datetime",2022-07-02 14:00:00
"BLACK MIDI","14:30 - 15:30","WEST HOLTS STAGE","SATURDAY","14:30","15:30",2022-07-02,"BLACK MIDI",3,56,"start_datetime",2022-07-02 14:30:00
"BLACK MIDI","14:30 - 15:30","WEST HOLTS STAGE","SATURDAY","14:30","15:30",2022-07-02,"BLACK MIDI",3,56,"end_datetime",2022-07-02 15:30:00
"YVES TUMOR","16:00 - 17:00","WEST HOLTS STAGE","SATURDAY","16:00","17:00",2022-07-02,"YVES TUMOR",4,57,"start_datetime",2022-07-02 16:00:00
"YVES TUMOR","16:00 - 17:00","WEST HOLTS STAGE","SATURDAY","16:00","17:00",2022-07-02,"YVES TUMOR",4,57,"end_datetime",2022-07-02 17:00:00
"CELESTE","17:30 - 18:30","WEST HOLTS STAGE","SATURDAY","17:30","18:30",2022-07-02,"CELESTE",5,58,"start_datetime",2022-07-02 17:30:00
"CELESTE","17:30 - 18:30","WEST HOLTS STAGE","SATURDAY","17:30","18:30",2022-07-02,"CELESTE",5,58,"end_datetime",2022-07-02 18:30:00
"LEON BRIDGES","19:00 - 20:00","WEST HOLTS STAGE","SATURDAY","19:00","20:00",2022-07-02,"LEON BRIDGES",6,59,"start_datetime",2022-07-02 19:00:00
"LEON BRIDGES","19:00 - 20:00","WEST HOLTS STAGE","SATURDAY","19:00","20:00",2022-07-02,"LEON BRIDGES",6,59,"end_datetime",2022-07-02 20:00:00
"CARIBOU","20:30 - 21:30","WEST HOLTS STAGE","SATURDAY","20:30","21:30",2022-07-02,"CARIBOU",7,60,"start_datetime",2022-07-02 20:30:00
"CARIBOU","20:30 - 21:30","WEST HOLTS STAGE","SATURDAY","20:30","21:30",2022-07-02,"CARIBOU",7,60,"end_datetime",2022-07-02 21:30:00
"ROISIN MURPHY","22:15 - 23:45","WEST HOLTS STAGE","SATURDAY","22:15","23:45",2022-07-02,"ROISIN MURPHY",8,61,"start_datetime",2022-07-02 22:15:00
"ROISIN MURPHY","22:15 - 23:45","WEST HOLTS STAGE","SATURDAY","22:15","23:45",2022-07-02,"ROISIN MURPHY",8,61,"end_datetime",2022-07-02 23:45:00
"ISHMAEL ENSEMBLE","11:00 - 12:00","WEST HOLTS STAGE","SUNDAY","11:00","12:00",2022-07-03,"ISHMAEL ENSEMBLE",1,62,"start_datetime",2022-07-03 11:00:00
"ISHMAEL ENSEMBLE","11:00 - 12:00","WEST HOLTS STAGE","SUNDAY","11:00","12:00",2022-07-03,"ISHMAEL ENSEMBLE",1,62,"end_datetime",2022-07-03 12:00:00
